duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,other_actors_facebook_likes,imdb_binned_score,critic_review_ratio,content_rating_G,content_rating_GP,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_TV-14,content_rating_TV-G,content_rating_TV-PG,content_rating_Unrated,content_rating_X
169.0,0.0,18000.0,200069408.0,240396,0.0,209000000.0,2006.0,6.1,2.35,0,10903.0,3,0.18335445711871567,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106.0,395.0,451.0,168368427.0,330784,1.0,200000000.0,2008.0,6.7,2.35,0,805.0,3,0.3242156074014481,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151.0,563.0,40000.0,423032628.0,522040,2.0,225000000.0,2006.0,7.3,2.35,5000,6000.0,3,0.17085152838427947,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,563.0,40000.0,89289910.0,181792,1.0,215000000.0,2013.0,6.5,2.35,48000,3000.0,3,0.6329113924050633,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143.0,0.0,15000.0,291021565.0,548573,0.0,225000000.0,2013.0,7.2,2.35,118000,3748.0,3,0.2890378548895899,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150.0,80.0,22000.0,141614023.0,149922,4.0,225000000.0,2008.0,6.6,2.35,0,417.0,3,0.589041095890411,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173.0,0.0,26000.0,623279547.0,995415,3.0,220000000.0,2012.0,8.1,1.85,123000,40000.0,4,0.40824622531939603,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136.0,252.0,40000.0,241063875.0,370704,4.0,250000000.0,2011.0,6.7,2.35,58000,12000.0,3,0.9256198347107438,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106.0,188.0,10000.0,179020854.0,268154,1.0,225000000.0,2012.0,6.8,1.85,40000,1534.0,3,1.3225806451612903,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164.0,0.0,5000.0,255108370.0,354228,0.0,250000000.0,2014.0,7.5,2.35,65000,1745.0,3,0.5261845386533666,0,0,0,0,0,0,1,0,0,0,0,0,0,0
